# Phosphorus chemistry  
# 23 10 03 GS adds chemistry for P-bearing molecules
C,PN+=>C+,PN:hmrate:1.e-9:0:0. #UMIST2012, 20231001
e-,HPN+=>H,PN:hmrate:1.e-7:-0.5:0. #UMIST2012, 20231001
e-,PNH2+=>H2,PN:hmrate:1.5e-7:-0.5:0. #UMIST2012, 20231001
e-,PNH3+=>H2,H,PN:hmrate:1.5e-7:-0.5:0. #UMIST2012, 20231001
N,PO=>O,PN:hmrate:3.e-11:-0.6:0. #UMIST2012, 20231001 #rate corrected 20240310
H+,PN=>H,PN+:hmrate:1.e-9:-0.5:0. #UMIST2012, 20231001
H3+,PN=>H2,HPN+:hmrate:1.e-9:-0.5:0. #UMIST2012, 20231001      
H3O+,PN=>H2O,HPN+:hmrate:1.e-9:-0.5:0. #UMIST2012, 20231001
HCO+,PN=>CO,HPN+:hmrate:1.e-9:-0.5:0. #UMIST2012, 20231001
He+,PN=>He,P+,N:hmrate:1.e-9:-0.5:0. #UMIST2012, 20231001
#N,PN=>N2,P:hmrate:1.e-18:0:0. #UMIST2012, 20231001   duplicate    
PN,PHOTON=>P,N:th85rate:5e-12:0.:3.#UMIST2012, 20231001
PN,CRPHOT=>P,N:crnurate:250:0.:0.#UMIST2012, 20231001
HPO,CRPHOT=>PO,H:crnurate:750:0:0.#UMIST2012, 20231001
HPO+,e-=>PO,H:hmrate:1.50e-7:-0.50:0.0.#UMIST2012, 20231001
H2O,HPO+=>PO,H3O+:hmrate:3.40e-10:-0.50:0.0.#UMIST2012, 20231001
O,HPO=>PO,OH:hmrate:3.80e-11:0.0:0.0.#UMIST2012, 20231001
O,PH2=>PO,H2:hmrate:4.00e-11:0.0:0.0.#UMIST2012, 20231001
#P,O2=>PO,O:hmrate:1.00e-13:0.0:0.0. #UMIST2012, 20231001   # duplicate 20231014
HPO,PHOTON=>PO,H:th85rate:1.70e-10:0.0:5.30 #UMIST2012, 20231001
C+,PO=>PO+,C:hmrate:1.00e-9:-0.5:0.0.#UMIST2012, 20231001 
H+,PO=>PO+,H:hmrate:1.00e-9:-0.5:0.0 #UMIST2012, 20231001 
PO,CRPHOT=>P,O:crnurate:250.:0.:0.  #UMIST2012, 20231001
H3+,PO=>HPO+,H2:hmrate:1.00e-9:-0.50:0.0. #UMIST2012, 20231001
HCO+,PO=>HPO+,CO:hmrate:1.00e-9:-0.50:0.0. #UMIST2012, 20231001
He+,PO=>P+,O,He:hmrate:1.00e-9:-0.50:0.0. #UMIST2012, 20231001
#N,PO=>P,NO:hmrate:2.55e-12:0.00:0.00 #UMIST2012, 20231001        #duplicate 20231014
#PO,PHOTON=>P,O:th85rate:3.00e-10:0.00:2.00 #UMIST2012, 20231001   #duplicate
PH2,CRPHOT=>PH,H:crnurate:750.:0:0. #UMIST2012, 20231001
