Te	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminium	Silicon	Phosphorus	Sulphur	Chlorine	Argon	Potassium	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc
1.00e+04	4.43e-24	6.91e-29	6.24e-22	5.97e-21	3.88e-22	8.63e-23	4.45e-29	7.62e-22	2.47e-25	9.60e-28	5.75e-23	2.04e-20	1.05e-20	1.25e-20	1.78e-21	1.64e-20	4.25e-21	7.30e-24	3.99e-23	2.72e-19	2.15e-19	1.42e-19	1.35e-20	2.87e-20	5.35e-20	1.00e-19	4.86e-20	5.08e-20	1.37e-21	1.80e-21
1.58e+04	1.74e-22	1.31e-25	8.54e-23	2.35e-19	1.72e-20	8.37e-21	1.83e-27	2.68e-21	1.15e-21	1.02e-23	7.80e-24	1.32e-19	8.34e-20	3.62e-20	7.02e-21	9.96e-20	5.32e-20	4.81e-21	1.23e-23	1.96e-19	1.86e-19	4.80e-19	7.63e-20	9.04e-20	3.52e-19	3.14e-19	8.33e-20	9.03e-20	2.37e-21	3.76e-20
2.51e+04	8.13e-23	3.03e-23	2.14e-23	2.45e-19	1.68e-19	3.54e-20	1.12e-26	2.92e-20	1.10e-20	5.95e-22	2.68e-24	2.05e-20	3.30e-19	1.56e-19	6.25e-20	1.51e-19	7.61e-20	1.38e-20	1.18e-21	1.13e-20	4.91e-20	8.55e-20	3.52e-20	7.96e-20	1.84e-19	1.78e-19	2.39e-20	8.30e-20	1.27e-20	9.01e-20
3.98e+04	2.90e-23	8.57e-23	8.21e-24	1.44e-20	6.54e-19	1.41e-19	6.93e-20	7.33e-20	2.92e-20	1.29e-21	1.37e-22	1.73e-21	7.06e-19	5.07e-19	2.08e-19	2.25e-19	1.18e-19	6.39e-20	3.25e-20	3.97e-21	9.80e-21	2.47e-20	5.13e-20	2.66e-20	1.29e-20	1.61e-19	2.77e-20	3.09e-20	2.60e-21	1.52e-20
6.31e+04	1.31e-23	3.73e-22	2.03e-23	1.54e-21	4.15e-19	4.16e-19	1.89e-19	1.50e-19	5.64e-20	1.89e-20	2.94e-21	3.79e-22	4.26e-20	1.09e-18	6.23e-19	5.17e-19	1.30e-19	1.64e-19	9.46e-20	7.09e-20	1.36e-20	3.52e-20	9.47e-21	5.37e-20	1.04e-21	1.57e-19	1.42e-20	2.03e-20	5.41e-22	1.91e-21
1.00e+05	7.12e-24	6.24e-22	5.60e-22	2.86e-22	2.77e-20	6.69e-19	4.49e-19	2.79e-19	9.11e-20	8.81e-20	2.33e-20	2.91e-21	4.93e-21	9.49e-19	1.47e-18	1.12e-18	1.62e-19	3.54e-19	6.96e-19	3.16e-19	1.17e-19	6.69e-20	3.08e-20	8.51e-19	1.65e-21	1.55e-19	2.07e-21	2.69e-21	9.19e-22	7.42e-22
1.58e+05	4.54e-24	2.27e-22	1.12e-21	2.00e-22	3.68e-21	7.83e-20	7.06e-19	5.27e-19	3.31e-19	2.34e-19	1.25e-19	3.27e-20	9.84e-21	2.21e-20	2.31e-19	1.47e-18	3.54e-19	6.48e-19	1.29e-18	9.76e-19	3.05e-19	2.33e-19	1.88e-19	6.61e-19	1.86e-20	1.87e-19	2.55e-21	2.31e-21	2.23e-21	1.98e-21
2.51e+05	3.33e-24	9.88e-23	1.64e-21	1.70e-21	9.41e-22	8.18e-21	1.02e-19	7.33e-19	5.66e-19	4.36e-19	3.36e-19	1.40e-19	6.82e-20	2.30e-20	2.63e-20	1.52e-19	4.95e-19	7.17e-19	1.09e-18	1.48e-18	2.77e-19	6.60e-19	4.15e-19	6.67e-19	3.80e-19	4.79e-19	3.94e-20	6.94e-21	6.35e-21	5.57e-21
3.98e+05	2.74e-24	5.32e-23	6.50e-22	3.46e-21	1.88e-21	1.85e-21	9.81e-21	1.04e-19	4.31e-19	6.51e-19	5.41e-19	3.14e-19	2.35e-19	1.17e-19	4.90e-20	4.83e-20	9.38e-20	5.68e-19	1.17e-18	1.84e-18	5.74e-19	6.14e-19	8.97e-19	1.15e-18	1.69e-18	1.07e-18	6.83e-19	6.09e-20	1.52e-20	1.38e-20
6.31e+05	2.57e-24	3.33e-23	2.93e-22	2.05e-21	5.10e-21	2.66e-21	2.20e-21	1.25e-20	5.75e-20	4.15e-19	6.43e-19	5.11e-19	4.72e-19	3.43e-19	1.26e-19	1.38e-19	8.23e-20	1.20e-19	3.36e-19	1.19e-18	9.34e-19	7.57e-19	1.17e-18	1.62e-18	2.46e-18	1.63e-18	1.54e-18	3.90e-19	3.50e-20	3.39e-20
