log T	log cool/n2
1.00	-28.233
1.10	-28.056
1.20	-27.871
1.30	-27.684
1.40	-27.494
1.50	-27.312
1.60	-27.136
1.70	-26.963
1.80	-26.783
1.90	-26.580
2.00	-26.357
2.10	-26.127
2.20	-25.911
2.30	-25.718
2.40	-25.554
2.50	-25.416
2.60	-25.301
2.70	-25.205
2.80	-25.122
2.90	-25.050
3.00	-24.983
3.10	-24.923
3.20	-24.861
3.30	-24.791
3.40	-24.720
3.50	-24.649
3.60	-24.580
3.70	-24.503
3.80	-24.393
3.90	-24.225
4.00	-23.872
4.10	-23.109
4.20	-22.026
4.30	-21.827
4.40	-21.932
4.50	-21.923
4.60	-21.833
4.70	-21.691
4.80	-21.511
4.90	-21.340
5.00	-21.282
5.10	-21.305
5.20	-21.288
5.30	-21.272
5.40	-21.276
5.50	-21.451
5.60	-21.666
5.70	-21.719
5.80	-21.779
5.90	-21.814
6.00	-21.788
6.10	-21.800
6.20	-21.884
6.30	-22.070
6.40	-22.249
6.50	-22.387
6.60	-22.469
6.70	-22.501
6.80	-22.508
6.90	-22.504
7.00	-22.508
7.10	-22.554
7.20	-22.623
7.30	-22.662
7.40	-22.669
7.50	-22.655
7.60	-22.629
7.70	-22.595
7.80	-22.557
7.90	-22.516
8.00	-22.473
8.10	-22.429
8.20	-22.381
8.30	-22.332
8.40	-22.279
8.50	-22.222
8.60	-22.162
8.70	-22.098
8.80	-22.028
8.90	-21.951
9.00	-21.866
