density	temp	[O III] 5007	[O III] 4363	[O III] 1665	[O III] 88	[O III] 52	[O III] 1661
0.000e+00	3.50000	1.000e+00	2.358e-04	6.633e-07	2.351e+02	1.203e+02	1.688e-07
0.000e+00	3.70000	1.000e+00	2.537e-04	2.174e-05	8.117e+00	4.272e+00	5.533e-06
0.000e+00	3.90000	1.000e+00	2.780e-03	1.500e-03	9.431e-01	5.110e-01	3.818e-04
0.000e+00	4.10000	1.000e+00	1.281e-02	2.132e-02	2.414e-01	1.375e-01	5.427e-03
0.000e+00	4.30000	1.000e+00	3.348e-02	1.104e-01	1.036e-01	6.375e-02	2.811e-02
0.000e+00	4.50000	1.000e+00	6.043e-02	2.998e-01	6.264e-02	4.187e-02	7.632e-02
1.000e+00	3.50000	1.000e+00	2.334e-04	6.122e-06	2.225e+02	1.223e+02	1.558e-06
1.000e+00	3.70000	1.000e+00	2.537e-04	2.191e-05	7.760e+00	4.332e+00	5.578e-06
1.000e+00	3.90000	1.000e+00	2.780e-03	1.499e-03	9.086e-01	5.167e-01	3.816e-04
1.000e+00	4.10000	1.000e+00	1.281e-02	2.132e-02	2.339e-01	1.387e-01	5.426e-03
1.000e+00	4.30000	1.000e+00	3.348e-02	1.104e-01	1.008e-01	6.412e-02	2.811e-02
1.000e+00	4.50000	1.000e+00	6.043e-02	2.998e-01	6.119e-02	4.203e-02	7.632e-02
2.000e+00	3.50000	1.000e+00	2.152e-04	4.244e-05	1.424e+02	1.298e+02	1.080e-05
2.000e+00	3.70000	1.000e+00	2.533e-04	2.315e-05	5.322e+00	4.602e+00	5.893e-06
2.000e+00	3.90000	1.000e+00	2.781e-03	1.494e-03	6.582e-01	5.468e-01	3.804e-04
2.000e+00	4.10000	1.000e+00	1.282e-02	2.129e-02	1.769e-01	1.453e-01	5.421e-03
2.000e+00	4.30000	1.000e+00	3.349e-02	1.104e-01	7.904e-02	6.624e-02	2.811e-02
2.000e+00	4.50000	1.000e+00	6.046e-02	2.997e-01	4.945e-02	4.286e-02	7.630e-02
3.000e+00	3.50000	1.000e+00	1.659e-04	1.124e-04	2.429e+01	8.280e+01	2.860e-05
3.000e+00	3.70000	1.000e+00	2.530e-04	2.598e-05	1.040e+00	3.235e+00	6.612e-06
3.000e+00	3.90000	1.000e+00	2.793e-03	1.484e-03	1.458e-01	4.145e-01	3.777e-04
3.000e+00	4.10000	1.000e+00	1.288e-02	2.124e-02	4.381e-02	1.157e-01	5.407e-03
3.000e+00	4.30000	1.000e+00	3.361e-02	1.104e-01	2.167e-02	5.416e-02	2.811e-02
3.000e+00	4.50000	1.000e+00	6.068e-02	2.995e-01	1.490e-02	3.558e-02	7.623e-02
4.000e+00	3.50000	1.000e+00	1.399e-04	1.451e-04	1.878e+00	1.524e+01	3.694e-05
4.000e+00	3.70000	1.000e+00	2.663e-04	2.785e-05	8.048e-02	6.497e-01	7.088e-06
4.000e+00	3.90000	1.000e+00	2.923e-03	1.500e-03	1.141e-02	9.075e-02	3.817e-04
4.000e+00	4.10000	1.000e+00	1.339e-02	2.146e-02	3.480e-03	2.738e-02	5.462e-03
4.000e+00	4.30000	1.000e+00	3.469e-02	1.115e-01	1.752e-03	1.372e-02	2.837e-02
4.000e+00	4.50000	1.000e+00	6.227e-02	3.015e-01	1.231e-03	9.601e-03	7.676e-02
5.000e+00	3.50000	1.000e+00	1.822e-04	1.826e-04	2.099e-01	2.012e+00	4.647e-05
5.000e+00	3.70000	1.000e+00	4.125e-04	3.305e-05	8.541e-03	8.421e-02	8.412e-06
5.000e+00	3.90000	1.000e+00	4.227e-03	1.723e-03	1.163e-03	1.170e-02	4.387e-04
5.000e+00	4.10000	1.000e+00	1.844e-02	2.421e-02	3.424e-04	3.527e-03	6.162e-03
5.000e+00	4.30000	1.000e+00	4.534e-02	1.236e-01	1.662e-04	1.766e-03	3.146e-02
5.000e+00	4.50000	1.000e+00	7.756e-02	3.289e-01	1.125e-04	1.237e-03	8.371e-02
6.000e+00	3.50000	1.000e+00	6.294e-04	5.130e-04	5.819e-02	5.682e-01	1.306e-04
6.000e+00	3.70000	1.000e+00	1.801e-03	8.283e-05	2.112e-03	2.130e-02	2.108e-05
6.000e+00	3.90000	1.000e+00	1.667e-02	3.971e-03	2.644e-04	2.725e-03	1.011e-03
6.000e+00	4.10000	1.000e+00	6.698e-02	5.184e-02	7.239e-05	7.613e-04	1.320e-02
6.000e+00	4.30000	1.000e+00	1.484e-01	2.455e-01	3.269e-05	3.517e-04	6.248e-02
6.000e+00	4.50000	1.000e+00	2.265e-01	6.042e-01	2.052e-05	2.268e-04	1.538e-01
7.000e+00	3.50000	1.000e+00	3.410e-03	3.812e-03	4.319e-02	4.225e-01	9.704e-04
7.000e+00	3.70000	1.000e+00	1.081e-02	5.802e-04	1.478e-03	1.494e-02	1.477e-04
7.000e+00	3.90000	1.000e+00	1.007e-01	2.645e-02	1.761e-04	1.816e-03	6.732e-03
7.000e+00	4.10000	1.000e+00	4.122e-01	3.286e-01	4.599e-05	4.811e-04	8.364e-02
7.000e+00	4.30000	1.000e+00	9.253e-01	1.469e+00	1.971e-05	2.085e-04	3.739e-01
7.000e+00	4.50000	1.000e+00	1.412e+00	3.374e+00	1.163e-05	1.244e-04	8.588e-01
