density	[OII] 3726	[O II] 3729	[O II] 2471	[O II] 7323	[O II] 7332
-1	1.000000e+00	1.500107e+00	2.415925e-02	1.547430e-02	8.328622e-03
-0.5	1.000000e+00	1.499718e+00	2.416355e-02	1.547706e-02	8.330105e-03
0	1.000000e+00	1.498489e+00	2.417715e-02	1.548577e-02	8.334792e-03
0.5	1.000000e+00	1.494619e+00	2.422008e-02	1.551327e-02	8.349592e-03
1	1.000000e+00	1.482557e+00	2.435516e-02	1.559979e-02	8.396160e-03
1.5	1.000000e+00	1.446068e+00	2.477586e-02	1.586925e-02	8.541192e-03
2	1.000000e+00	1.345022e+00	2.605026e-02	1.668552e-02	8.980528e-03
2.5	1.000000e+00	1.122203e+00	2.970277e-02	1.902500e-02	1.023969e-02
3	1.000000e+00	8.080632e-01	3.972800e-02	2.544628e-02	1.369577e-02
3.5	1.000000e+00	5.613676e-01	6.850292e-02	4.387699e-02	2.361559e-02
4	1.000000e+00	4.421189e-01	1.567777e-01	1.004181e-01	5.404729e-02
4.5	1.000000e+00	3.978580e-01	4.332243e-01	2.774856e-01	1.493491e-01
5	1.000000e+00	3.831323e-01	1.293089e+00	8.282397e-01	4.457774e-01
5.5	1.000000e+00	3.785441e-01	3.879848e+00	2.485092e+00	1.337533e+00
6	1.000000e+00	3.774551e-01	1.091891e+01	6.993701e+00	3.764169e+00
6.5	1.000000e+00	3.777346e-01	2.570939e+01	1.646719e+01	8.863014e+00
7	1.000000e+00	3.783905e-01	4.476537e+01	2.867278e+01	1.543234e+01
7.5	1.000000e+00	3.788423e-01	5.832421e+01	3.735739e+01	2.010660e+01
